[MAP_TEXTURES]
#idScene	rowSprites	columnSprites	IDTileSet
1	7	11	11	
[MAP]
# filePath	column	row	index	align
map/map1a.txt	64	24	0	0

[CAMERA]
#xLeft	xRight	yTop	yBot
0	1008	192	384
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
4	16	16	401
4	16	32	401
4	32	32	401
4	48	32	401
4	64	32	401
4	80	32	401
4	96	32	401
4	112	32	401
4	128	32	401
4	144	32	401
4	160	32	401
4	176	32	401
4	192	32	401
4	208	32	401
4	224	32	401
4	240	32	401
4	256	32	401
4	272	32	401
			
4	288	48	407
4	288	64	404
4	288	64	401
4	304	64	401
4	320	64	401
4	336	64	401
4	352	64	401
4	367	64	401
			
4	367	48	403
4	383	32	401
			
4	208	48	404
4	224	48	405
			
4	256	112	406
4	304	112	406
4	352	112	406
4	400	112	406
4	416	80	406
			
			
			
4	399	16	408
4	415	16	408
4	431	16	408
4	447	16	408
			
4	464	32	401
#stair
#
#
4	512	48	401
4	528	48	401
#stair
#
#
4	576	32	401
4	592	32	401
#stair
#
#
4	640	48	401
4	656	48	401
#stair
#
#
4	703	32	401

4	704	16	408
4	720	16	408
4	736	16	408
4	752	16	408
4	768	16	408
4	784	16	408

4	784	32	401
#5*stair
4	864	64	401
4	880	80	408
4	880	96	401
4	896	96	401
4	896	80	408
4	896	48	408
4	896	64	408
			
4	912	32	401
4	928	32	401
4	944	32	401
4	960	32	401
4	976	32	401
4	976	16	401
			
4	944	80	401
4	960	80	401
4	976	80	401
4	992	80	401
			
			
4	832	48	401
4	0	384	401
4	0	368	401
4	0	352	401
4	0	336	401
4	0	320	401
4	0	304	401
4	0	288	401
4	0	272	401
4	0	256	401
4	0	240	401
4	0	224	401
4	0	208	401
4	0	192	401
4	0	176	401
4	0	160	401
4	0	144	401
4	0	128	401
4	0	112	401
4	0	96	401
4	0	80	401
4	0	64	401
4	0	48	401
4	0	32	401
			
4	1008	384	401
4	1008	368	401
4	1008	352	401
4	1008	336	401
4	1008	320	401
4	1008	304	401
4	1008	288	401
4	1008	272	401
4	1008	256	401
4	1008	240	401
4	1008	224	401
4	1008	208	401
4	1008	192	401
4	1008	176	401
4	1008	160	401
4	1008	144	401
4	1008	128	401
4	1008	112	401
4	1008	96	401
4	1008	80	401
4	1008	64	401
4	1008	48	401
4	1008	32	401
4	1008	16	401
			
4	944	64	401
4	960	64	401
4	976	64	401
4	992	64	401
			
4	992	144	401
			
4	960	208	401
4	944	208	401
4	896	240	401
4	832	240	401
4	768	240	401
4	704	240	401
4	688	240	401
4	608	240	401
4	560	288	401
			
4	16	240	401
4	32	240	401
4	48	240	401
4	64	240	401
4	80	240	401
4	96	240	401
4	112	240	401
4	128	240	401
4	144	240	401
4	160	240	401
			
4	48	256	401
4	64	256	401
4	80	256	401
4	96	256	401
			
4	48	272	401
4	64	272	401
4	80	272	401
4	96	272	401

# Gimmick
1	50	112	1	480	352

# Slide 1
# brick at footer
4	480	32	4		
#5	478	32	4	1	2
5	480	33	4	1	2
5	482	34	4	1	2
5	484	35	4	1	2
5	486	36	4	1	2
5	488	37	4	1	2
5	490	38	4	1	2
5	492	39	4	1	2
5	494	40	4	1	2
5	496	41	4	1	2
5	498	42	4	1	2
5	500	43	4	1	2
5	502	44	4	1	2
5	504	45	4	1	2
5	506	46	4	1	2
5	508	47	4	1	2
5	510	48	4	1	2

# slide 2
5	544	48	4	-1	2
5	546	47	4	-1	2
5	548	46	4	-1	2
5	550	45	4	-1	2
5	552	44	4	-1	2
5	554	43	4	-1	2
5	556	42	4	-1	2
5	558	41	4	-1	2
5	560	40	4	-1	2
5	562	39	4	-1	2
5	564	38	4	-1	2
5	566	37	4	-1	2
5	568	36	4	-1	2
5	570	35	4	-1	2
5	572	34	4	-1	2
5	574	33	4	-1	2
#5	576	32	4	-1	2
# brick at footer
4	560	32	4

# slide 3
# brick at footer
4	608	32	4		
#5	606	32	4	1	2
5	608	33	4	1	2
5	610	34	4	1	2
5	612	35	4	1	2
5	614	36	4	1	2
5	616	37	4	1	2
5	618	38	4	1	2
5	620	39	4	1	2
5	622	40	4	1	2
