[MAP_TEXTURES]
#idScene	rowSprites	columnSprites	IDTileSet
1	20	11	21	

[MAP]
# filePath	column	row	index	align
map/map2.txt	128	60	0	0

[CAMERA]
#xLeft	xRight	yTop	yBot
0	2048	0	384

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
#ABOVE-WATER BRICKS
4	32	224	401
4	32	240	401
4	32	256	401
4	48	224	401
4	48	240	401
4	48	256	401
4	64	224	401
4	64	240	401
4	64	256	401
4	80	224	401
4	80	240	401
4	80	256	401
4	96	224	401
4	96	240	401
4	96	256	401
4	112	224	401
4	112	240	401
4	112	256	401

4	160	224	401
4	160	240	401
4	160	256	401
4	176	224	401
4	176	240	401
4	176	256	401

4	224	224	401
4	224	240	401
4	224	256	401
4	240	224	401
4	240	240	401
4	240	256	401

4	288	224	401
4	288	240	401
4	288	256	401
4	304	224	401
4	304	240	401
4	304	256	401
4	320	224	401
4	320	240	401
4	320	256	401
4	336	224	401
4	336	240	401
4	336	256	401
4	352	224	401
4	352	240	401
4	352	256	401
4	368	224	401
4	368	240	401
4	368	256	401

4	416	224	401
4	416	240	401
4	416	256	401
4	416	272	401
4	416	288	401
4	432	224	401
4	432	240	401
4	432	256	401
4	432	272	401
4	432	288	401

4	480	224	401
4	480	240	401
4	480	256	401

4	1760	224	401
4	1760	240	401
4	1776	224	401
4	1776	240	401
4	1792	224	401
4	1792	240	401
4	1808	224	401
4	1808	240	401
4	1824	224	401
4	1824	240	401
4	1840	224	401
4	1840	240	401
4	1856	224	401
4	1856	240	401
4	1872	224	401
4	1872	240	401

#JUMP-TO-THE-JACHT BRICKS
4	1568	400	401
4	1584	400	401

4	1616	352	401

4	1632	304	401

4	1648	256	401
4	1664	256	401

#JACHT BRICKS
#LONG TOP WOODS

4	688	432	401
4	672	432	401
4	656	432	401

4	736	480	401
4	720	480	401
4	704	480	401
4	688	480	401
4	672	480	401

4	864	464	401
4	848	464	401
4	832	464	401
4	816	464	401
4	800	464	401
4	784	464	401
4	768	464	401
4	752	464	401
4	736	464	401


4	880	448	401

4	896	432	401

4	896	416	401
4	912	416	401
4	928	416	401
4	944	416	401
4	960	416	401
4	976	416	401
4	992	416	401
4	1008	416	401
4	1024	416	401
4	1040	416	401
4	1056	416	401
4	1072	416	401
4	1088	416	401
4	1104	416	401
4	1120	416	401
4	1136	416	401
4	1152	416	401
4	1168	416	401
4	1184	416	401
4	1200	416	401
4	1216	416	401
4	1232	416	401
4	1248	416	401
4	1264	416	401
4	1280	416	401
4	1296	416	401
4	1312	416	401
4	1328	416	401
4	1344	416	401
4	1360	416	401
4	1376	416	401
4	1392	416	401
4	1408	416	401
4	1424	416	401
4	1440	416	401
4	1456	416	401
4	1472	416	401
4	1488	416	401
4	1504	416	401
4	1520	416	401
4	1536	416	401

#TOP-WOOD at BOSS
4	1664	448	401
4	1680	448	401
4	1696	448	401
4	1712	448	401
4	1728	448	401
4	1744	448	401
4	1760	448	401
4	1776	448	401
4	1792	448	401
4	1808	448	401
4	1824	448	401
4	1840	448	401
4	1856	448	401
4	1872	448	401
4	1888	448	401
4	1904	448	401
4	1920	448	401
4	1936	448	401
4	1952	448	401
4	1968	448	401
4	1984	448	401
4	2000	448	401
4	2016	448	401

#JUMP-TO-THE-FLAG BRICKS
#left
4	864	688	401
4	848	688	401

4	816	608	401
4	800	608	401

4	864	544	401
4	848	544	401


#right
4	1664	528	401
4	1680	528	401

4	1712	592	401
4	1728	592	401

4	1680	656	401
4	1696	656	401
4	1712	656	401

#UP-ON-THE-FLAG BRICKS
4	928	624	401
4	944	624	401
4	960	624	401
4	976	624	401
4	992	624	401
4	1008	624	401
4	1024	624	401
4	1040	624	401
4	1056	624	401
4	1072	624	401
4	1088	624	401
4	1104	624	401
4	1120	624	401
4	1136	624	401
4	1152	624	401
4	1168	624	401
4	1184	624	401
4	1200	624	401
4	1216	624	401

4	1264	624	401
4	1280	624	401
4	1296	624	401
4	1312	624	401
4	1328	624	401
4	1344	624	401
4	1360	624	401
4	1376	624	401
4	1392	624	401
4	1408	624	401
4	1424	624	401
4	1440	624	401
4	1456	624	401
4	1472	624	401
4	1488	624	401
4	1504	624	401
4	1520	624	401
4	1536	624	401



4	1504	640	401
4	1520	640	401
4	1536	640	401
4	1552	640	401
4	1568	640	401
4	1584	640	401
#BARRELS
4	800	480	401
4	784	480	401
4	768	480	401
4	752	480	401
4	800	496	401
4	784	496	401
4	768	496	401
4	752	496	401


4	1248	496	401
4	1264	496	401
4	1280	496	401
4	1296	496	401
4	1312	496	401
4	1328	496	401
4	1248	512	401
4	1264	512	401
4	1280	512	401
4	1296	512	401
4	1312	512	401
4	1328	512	401
# Gimmick
#1	50	384	1	480	352
#1	1280	480	1	480	352
1	1000	800	1	480	352

# Moving brick (chưa vẽ thuyền)						
# id	x	y	ani	min	max	type
8	496	224	411	496	700	1
8	600	224	411	700	1000	1
8	1000	224	411	1000	1400	1
8	1400	224	411	1400	1744	1


# Moving brick (chưa vẽ chim cuối)						
# id	x	y	ani	min	max	type
8	1568	656	411	1568	1650	1

